Conf,CCS (Å2),HF energy,,,
34,222.1182,-856.4717079,,,
90,189.4004,-856.4807057,,,
126,194.2471,-856.4770871,,,
156,216.0268,-856.4723752,,,
242,228.2771,-856.4681886,,,
304,208.6438,-856.4691056,,,
448,219.294,-856.4701162,,,
472,180.8516,-856.4818532,,,
549,181.1923,-856.4843667,,,
584,220.4005,-856.4704143,,,
669,188.748,-856.4817634,,,
684,230.0558,-856.4683312,,,
727,185.8921,-856.4806396,,,
746,179.6652,-856.4805641,,,
883,221.3307,-856.468127,,,
950,198.2743,-856.480477,,,
961,224.6351,-856.4705636,,,
962,214.8612,-856.4689398,,,
966,218.0254,-856.4707364,,,
981,189.5816,-856.4790194,,,