Conf,CCS (Å2),HF energy
34,239.7519,-856.4729727
95,241.2939,-856.4698542
122,242.7268,-856.4690509
123,249.9626,-856.470953
126,225.6833,-856.471809
172,249.8513,-856.4699678
217,220.373,-856.471501
234,238.4483,-856.4722464
306,221.985,-856.4701126
315,234.2228,-856.4692427
367,228.3438,-856.4692401
404,240.9355,-856.4693409
472,225.3941,-856.4689411
474,225.4503,-856.4690843
496,226.2766,-856.4702714
535,228.2145,-856.469313
564,222.4104,-856.4716718
578,226.7984,-856.4685594
617,223.4946,-856.469002
961,226.062,-856.4708843